request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74661&c-r-ot=H,c-t-id,74661,"COOPER, PAULA J",c-t-eid,2787774,"COOPER, PAULA J",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8688,"ASSEMBLY DISTRICT 042",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",87,5544.35
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27358&c-r-ot=H,c-t-id,27358,"GLABERE, MICHAEL LAWRENCE",c-t-eid,13735973,"GLABERE, MICHAEL LAWRENCE",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8664,"ASSEMBLY DISTRICT 018",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",23,5302.42
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27423&c-r-ot=H,c-t-id,27423,"WALD, DAN",c-t-eid,13736096,"WALD, DAN",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8716,"ASSEMBLY DISTRICT 070",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",46,5273.05
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74679&c-r-ot=H,c-t-id,74679,"MALCHESKI, MICHAEL J",c-t-eid,13735942,"MALCHESKI, MICHAEL J",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8650,"ASSEMBLY DISTRICT 004",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",55,5256.83
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74686&c-r-ot=H,c-t-id,74686,"PETERSON, KIM M",c-t-eid,13736005,"PETERSON, KIM M",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8678,"ASSEMBLY DISTRICT 032",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",63,5125.01
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27398&c-r-ot=H,c-t-id,27398,"BRAUGHLER, JAMES B",c-t-eid,13736022,"BRAUGHLER, JAMES B",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8683,"ASSEMBLY DISTRICT 037",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",26,5015.52
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27355&c-r-ot=H,c-t-id,27355,"FIELDS, JARETT",c-t-eid,13735972,"FIELDS, JARETT",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8664,"ASSEMBLY DISTRICT 018",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",26,4954.60
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74730&c-r-ot=H,c-t-id,74730,"FROSTMAN, SCOTT",c-t-eid,13736124,"FROSTMAN, SCOTT",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8727,"ASSEMBLY DISTRICT 081",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",32,4830.00
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27351&c-r-ot=H,c-t-id,27351,"DE FOREST, SHEILA L",c-t-eid,13736040,"DE FOREST, SHEILA L",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8691,"ASSEMBLY DISTRICT 045",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",79,4590.70
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27410&c-r-ot=H,c-t-id,27410,"NELSON, BARRY LEE",c-t-eid,13735993,"NELSON, BARRY LEE",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8671,"ASSEMBLY DISTRICT 025",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",8,4553.57
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=134416&c-r-ot=H,c-t-id,134416,"SINICKI, CHRISTINE",c-t-eid,2943905,"SINICKI, CHRISTINE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8666,"ASSEMBLY DISTRICT 020",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",24,4450.60
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74655&c-r-ot=H,c-t-id,74655,"BAUER, STEVEN G",c-t-eid,3650901,"BAUER, STEVEN G",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8673,"ASSEMBLY DISTRICT 027",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",21,4250.42
